0, 0, 12, 512, 0, 0

1, 0, 10, 360, 0, 0

2, 0, 8, 512, 0, 0

3, 1, 9, 1024, 1, 1

4, 0, 10, 128, 0, 0

5, 0, 6, 256, 0, 0

6, 2, 7, 2048, 0, 1

7, 1, 10, 1286, 1, 1

8, 2, 6, 64, 1, 1

9, 1, 7, 900, 1, 0

10, 0, 13, 256, 0, 0

11, 3, 16, 182, 0, 0

12, 2, 12, 927, 0, 1

13, 0, 17, 287, 0, 0

14, 3, 11, 346, 0, 1

15, 2, 15, 926, 0, 0

16, 1, 3, 092, 0, 1

17, 1, 6, 912, 0, 1

18, 1, 9, 296, 0, 1

19, 1, 8, 281, 0, 0

20, 3, 9, 288, 0, 1

21, 3, 5, 144, 0, 0

22, 1, 12, 95, 0, 1

23, 6, 17, 657, 0, 1

24, 3, 13, 921, 0, 0

25, 3, 5, 624, 0, 0

26, 0, 8, 512, 0, 0

27, 2, 9, 1024, 1, 1

28, 3, 2, 256, 0, 0

29, 2, 9, 256, 1, 0

30, 3, 7, 928, 0, 0

31, 3, 11, 2096, 0, 0

32, 1, 14, 102, 0, 0

33, 1, 4, 92, 0, 1

34, 1, 4, 247, 0, 0

35, 2, 6, 982, 1, 1

36, 3, 7, 524, 0, 1

37, 1, 16, 827, 0, 1

38, 0, 22, 192, 0, 0

39, 1, 12, 122, 1, 0

40, 3, 9, 323, 0, 1

41, 3, 5, 333, 0, 1

42, 1, 5, 212, 0, 0

43, 3, 15, 117, 0, 0

44, 2, 3, 867, 0, 1

45, 0, 5, 55, 0, 0

46, 2, 9, 812, 0, 0

47, 1, 2, 927, 0, 0

48, 1, 9, 623, 0, 1

49, 1, 6, 723, 0, 0

50, 1, 6, 182, 0, 1

51, 0, 7, 128, 0, 0

52, 0, 9, 128, 0, 0

53, 1, 3, 64, 0, 0

54, 2, 8, 923, 0, 1

55, 3, 1, 123, 0, 0

56, 2, 12, 642, 0, 1

57, 0, 11, 27, 0, 0

58, 1, 17, 97, 0, 0

59, 0, 12, 22, 0, 0

60, 3, 11, 86, 0, 0

61, 2, 3, 221, 0, 0

62, 2, 5, 823, 0, 0

63, 2, 6, 123, 0, 0

64, 1, 4, 941, 1, 1

65, 1, 8, 592, 0, 1

66, 1, 2, 992, 0, 1

67, 1, 2, 912, 1, 1

68, 3, 6, 512, 0, 0

69, 2, 9, 923, 0, 0

70, 3, 5, 766, 0, 0

71, 2, 7, 912, 0, 0

72, 0, 7, 500, 0, 0

73, 3, 8, 462, 1, 1

74, 0, 12, 238, 0, 0

75, 3, 16, 123, 0, 0

76, 3, 16, 556, 0, 0

77, 2, 10, 123, 1, 1

78, 1, 5, 1112, 0, 0

79, 2, 5, 923, 0, 0

80, 1, 13, 122, 1, 0

81, 1, 4, 724, 0, 0

82, 1, 11, 111, 1, 0

83, 0, 5, 512, 0, 0

84, 3, 16, 555, 1, 0

85, 0, 13, 55, 0, 0

86, 3, 17, 87, 0, 0

87, 3, 19, 97, 1, 0

88, 1, 12, 88, 0, 0

89, 3, 19, 128, 0, 0

90, 3, 6, 666, 0, 1

91, 3, 19, 823, 0, 0

92, 2, 3, 512, 0, 0

93, 3, 11, 112, 0, 1

94, 3, 9, 4442, 0, 0

95, 2, 12, 111, 0, 1

96, 1, 17, 823, 0, 0

97, 1, 15, 442, 1, 1

98, 1, 19, 221, 0, 0

99, 2, 11, 992, 0, 0

100, 0, 8, 512, 0, 0
